Track,Frequency,Note,Key,Channel,Port
3,48200, Note_off_c,2,34,64,0
3,48300, Note_on_c,2,34,118,0
3,48448, Note_on_c,2,31,118,0
3,48468, Note_off_c,2,34,64,0
3,48724, Note_on_c,2,29,118,0
3,48764, Note_off_c,2,31,64,0
3,49188, Note_off_c,2,29,64,0
3,49248, Note_on_c,2,29,118,0
3,49416, Note_on_c,2,31,118,0
3,49432, Note_off_c,2,29,64,0
3,49704, Note_on_c,2,29,118,0
3,49716, Note_off_c,2,31,64,0
3,49876, Note_off_c,2,29,64,0
3,49920, Note_on_c,2,34,127,0
3,50400, Note_on_c,2,31,127,0
3,50408, Note_off_c,2,34,64,0
3,50556, Note_on_c,2,29,77,0
3,50756, Note_off_c,2,31,64,0
3,50796, Note_on_c,2,34,127,0
3,50816, Note_off_c,2,29,64,0
3,50956, Note_off_c,2,34,64,0
3,51132, Note_on_c,2,34,101,0
3,51276, Note_on_c,2,31,104,0
3,51348, Note_off_c,2,34,64,0
3,51524, Note_on_c,2,29,86,0
3,51660, Note_off_c,2,31,64,0
3,51812, Note_off_c,2,29,64,0
3,51844, Note_on_c,2,34,127,0
3,52328, Note_on_c,2,31,127,0
3,52380, Note_off_c,2,34,64,0
3,52572, Note_on_c,2,29,107,0
3,52716, Note_off_c,2,31,64,0
3,52804, Note_on_c,2,34,127,0
3,52836, Note_off_c,2,29,64,0
3,52952, Note_off_c,2,34,64,0
3,53056, Note_on_c,2,34,106,0
3,53308, Note_off_c,2,34,64,0
3,53444, Note_on_c,2,31,80,0
3,53680, Note_on_c,2,29,92,0
3,53760, Note_on_c,2,34,127,0
3,53840, Note_off_c,2,31,64,0
3,54056, Note_off_c,2,29,64,0
3,54240, Note_on_c,2,31,127,0
3,54248, Note_off_c,2,34,64,0
3,54396, Note_on_c,2,29,77,0
3,54596, Note_off_c,2,31,64,0
3,54636, Note_on_c,2,34,127,0
3,54656, Note_off_c,2,29,64,0
3,54796, Note_off_c,2,34,64,0
3,54972, Note_on_c,2,34,101,0
3,55116, Note_on_c,2,31,104,0
3,55188, Note_off_c,2,34,64,0
3,55364, Note_on_c,2,29,86,0
3,55500, Note_off_c,2,31,64,0
3,55652, Note_off_c,2,29,64,0
3,55684, Note_on_c,2,34,127,0
3,56168, Note_on_c,2,31,127,0
3,56220, Note_off_c,2,34,64,0
3,56412, Note_on_c,2,29,107,0
3,56556, Note_off_c,2,31,64,0
3,56644, Note_on_c,2,34,127,0
3,56676, Note_off_c,2,29,64,0
3,56792, Note_off_c,2,34,64,0
3,56896, Note_on_c,2,34,106,0
3,57148, Note_off_c,2,34,64,0
3,57284, Note_on_c,2,31,80,0
3,57520, Note_on_c,2,29,92,0
3,57600, Note_on_c,2,39,127,0
3,57680, Note_off_c,2,31,64,0
3,57896, Note_off_c,2,29,64,0
3,57940, Note_off_c,2,39,64,0
